"Name";"Type of Assembly";"Date Begin";"Date End";"URL Browser";"URL Prefix"
"Journal officiel de la République française. Débats parlementaires. Sénat : compte rendu in-extenso";"Sénat";11/01/1881;10/07/1940;"https://gallica.bnf.fr/ark:/12148/cb34363182v/date.item";"https://gallica.bnf.fr/ark:/12148/cb34363182v/"
"Journal officiel de la République française. Débats parlementaires. Chambre des députés : compte rendu in-extenso";"Chambre des députés";11/01/1881;10/07/1940;"https://gallica.bnf.fr/ark:/12148/cb328020951/date.r=";"https://gallica.bnf.fr/ark:/12148/cb328020951/"
"Journal officiel de la République française. Débats parlementaires. Chambre des députés : compte rendu in-extenso";"Chambre des députés";09/02/1948;09/02/1948;"https://gallica.bnf.fr/ark:/12148/cb328020951/date.r=";"https://gallica.bnf.fr/ark:/12148/cb328020951/"
"Journal officiel de la République française. Lois et décrets";"Lois et décrets";01/01/1881;30/09/1940;"https://gallica.bnf.fr/ark:/12148/cb34378481r/date.r=";"https://gallica.bnf.fr/ark:/12148/cb34378481r/"
"Journal officiel de la République française (Paris. 1870)";;05/09/1870;30/12/1880;"https://gallica.bnf.fr/ark:/12148/cb328020909/date.item";"https://gallica.bnf.fr/ark:/12148/cb328020909/"
