"Name";"Type of Assembly";"Date Begin";"Date End";"URL Browser";"URL Prefix"
"Journal officiel de la République française. Documents parlementaires. Chambre des députés : annexes aux procès-verbaux des séances";"Chambre des députés";01/01/1881;11/07/1939;"https://gallica.bnf.fr/ark:/12148/cb328020982/date.item";"https://gallica.bnf.fr/ark:/12148/cb328020982/"
"Table annuelle du Journal officiel de la République française Lois et décrets";"Lois et décrets";01/01/1871;01/01/1940;"https://gallica.bnf.fr/ark:/12148/cb371291967/date.item";"https://gallica.bnf.fr/ark:/12148/cb371291967/"
